zipcode,cases,date
54001,0,8/6/20
54002,0,8/6/20
54003,0,8/6/20
54004,0,8/6/20
54005,0,8/6/20
54006,0,8/6/20
54007,0,8/6/20
54009,0,8/6/20
54010,0,8/6/20
54011,0,8/6/20
54013,0,8/6/20
54014,0,8/6/20
54015,<=5,8/6/20
54016,0,8/6/20
54017,0,8/6/20
54020,0,8/6/20
54021,0,8/6/20
54022,0,8/6/20
54023,0,8/6/20
54024,0,8/6/20
54025,0,8/6/20
54026,0,8/6/20
54027,0,8/6/20
54028,0,8/6/20
54082,0,8/6/20
54701,0,8/6/20
54703,<=5,8/6/20
54720,0,8/6/20
54721,0,8/6/20
54722,0,8/6/20
54723,0,8/6/20
54724,0,8/6/20
54725,0,8/6/20
54726,0,8/6/20
54727,0,8/6/20
54728,0,8/6/20
54729,0,8/6/20
54730,0,8/6/20
54731,0,8/6/20
54732,0,8/6/20
54733,0,8/6/20
54734,0,8/6/20
54736,0,8/6/20
54737,0,8/6/20
54738,0,8/6/20
54739,0,8/6/20
54740,0,8/6/20
54741,0,8/6/20
54742,0,8/6/20
54745,0,8/6/20
54746,0,8/6/20
54747,0,8/6/20
54748,0,8/6/20
54749,0,8/6/20
54750,0,8/6/20
54751,0,8/6/20
54754,0,8/6/20
54755,0,8/6/20
54756,0,8/6/20
54757,0,8/6/20
54758,0,8/6/20
54759,0,8/6/20
54760,0,8/6/20
54761,0,8/6/20
54762,0,8/6/20
54763,0,8/6/20
54765,0,8/6/20
54766,0,8/6/20
54767,0,8/6/20
54768,0,8/6/20
54769,0,8/6/20
54770,0,8/6/20
54771,0,8/6/20
54772,0,8/6/20
54773,0,8/6/20
54801,0,8/6/20
54805,0,8/6/20
54806,0,8/6/20
54810,0,8/6/20
54812,0,8/6/20
54813,0,8/6/20
54814,0,8/6/20
54817,0,8/6/20
54819,0,8/6/20
54820,0,8/6/20
54821,0,8/6/20
54822,0,8/6/20
54824,0,8/6/20
54826,0,8/6/20
54827,0,8/6/20
54828,0,8/6/20
54829,0,8/6/20
54830,0,8/6/20
54832,0,8/6/20
54835,0,8/6/20
54836,0,8/6/20
54837,0,8/6/20
54838,0,8/6/20
54839,0,8/6/20
54840,0,8/6/20
54841,0,8/6/20
54842,0,8/6/20
54843,0,8/6/20
54844,0,8/6/20
54845,0,8/6/20
54846,0,8/6/20
54847,0,8/6/20
54848,0,8/6/20
54849,0,8/6/20
54850,0,8/6/20
54853,0,8/6/20
54854,0,8/6/20
54855,0,8/6/20
54856,0,8/6/20
54857,0,8/6/20
54858,0,8/6/20
54859,0,8/6/20
54861,0,8/6/20
54862,0,8/6/20
54864,0,8/6/20
54865,0,8/6/20
54867,0,8/6/20
54868,0,8/6/20
54870,0,8/6/20
54871,0,8/6/20
54872,0,8/6/20
54873,0,8/6/20
54874,0,8/6/20
54875,0,8/6/20
54876,0,8/6/20
54880,0,8/6/20
54888,0,8/6/20
54889,0,8/6/20
54891,0,8/6/20
54893,0,8/6/20
54895,0,8/6/20
54896,0,8/6/20
55001,15,8/6/20
55003,13,8/6/20
55005,9,8/6/20
55006,<=5,8/6/20
55007,<=5,8/6/20
55008,36,8/6/20
55009,55,8/6/20
55011,53,8/6/20
55012,15,8/6/20
55013,24,8/6/20
55014,192,8/6/20
55016,342,8/6/20
55017,<=5,8/6/20
55018,0,8/6/20
55019,6,8/6/20
55020,19,8/6/20
55021,826,8/6/20
55024,191,8/6/20
55025,131,8/6/20
55026,0,8/6/20
55027,9,8/6/20
55029,0,8/6/20
55030,<=5,8/6/20
55031,<=5,8/6/20
55032,6,8/6/20
55033,167,8/6/20
55036,<=5,8/6/20
55037,<=5,8/6/20
55038,117,8/6/20
55040,59,8/6/20
55041,16,8/6/20
55042,82,8/6/20
55043,15,8/6/20
55044,443,8/6/20
55045,29,8/6/20
55046,19,8/6/20
55047,10,8/6/20
55049,18,8/6/20
55051,29,8/6/20
55052,12,8/6/20
55053,<=5,8/6/20
55054,15,8/6/20
55055,41,8/6/20
55056,47,8/6/20
55057,147,8/6/20
55060,292,8/6/20
55063,21,8/6/20
55065,<=5,8/6/20
55066,44,8/6/20
55068,227,8/6/20
55069,9,8/6/20
55070,45,8/6/20
55071,79,8/6/20
55072,<=5,8/6/20
55073,<=5,8/6/20
55074,11,8/6/20
55075,266,8/6/20
55076,211,8/6/20
55077,166,8/6/20
55079,17,8/6/20
55080,<=5,8/6/20
55082,190,8/6/20
55084,6,8/6/20
55085,<=5,8/6/20
55087,0,8/6/20
55088,7,8/6/20
55089,12,8/6/20
55090,<=5,8/6/20
55092,32,8/6/20
55101,95,8/6/20
55102,213,8/6/20
55103,271,8/6/20
55104,558,8/6/20
55105,143,8/6/20
55106,1089,8/6/20
55107,281,8/6/20
55108,187,8/6/20
55109,500,8/6/20
55110,277,8/6/20
55111,<=5,8/6/20
55112,612,8/6/20
55113,522,8/6/20
55114,66,8/6/20
55115,59,8/6/20
55116,267,8/6/20
55117,809,8/6/20
55118,452,8/6/20
55119,626,8/6/20
55120,45,8/6/20
55121,106,8/6/20
55122,297,8/6/20
55123,181,8/6/20
55124,524,8/6/20
55125,390,8/6/20
55126,179,8/6/20
55127,132,8/6/20
55128,289,8/6/20
55129,237,8/6/20
55130,439,8/6/20
55150,<=5,8/6/20
55155,6,8/6/20
55301,78,8/6/20
55302,35,8/6/20
55303,458,8/6/20
55304,295,8/6/20
55305,218,8/6/20
55306,267,8/6/20
55307,26,8/6/20
55308,40,8/6/20
55309,115,8/6/20
55310,10,8/6/20
55311,288,8/6/20
55312,<=5,8/6/20
55313,160,8/6/20
55314,6,8/6/20
55315,66,8/6/20
55316,254,8/6/20
55317,166,8/6/20
55318,295,8/6/20
55319,15,8/6/20
55320,37,8/6/20
55321,9,8/6/20
55322,14,8/6/20
55324,<=5,8/6/20
55325,13,8/6/20
55327,41,8/6/20
55328,54,8/6/20
55329,13,8/6/20
55330,235,8/6/20
55331,220,8/6/20
